epoch,train_loss,val_auc,val_prc,val_acc,lr
1,0.25228107569178915,0.6690935327298965,0.199635415004569,0.94921875,0.0005573770491803278
2,0.2026300720143609,0.7609864882592154,0.22103181313479092,0.9440104166666666,0.0009979798666177075
3,0.18339763151678612,0.7839433293978748,0.24807500511293934,0.9440104166666666,0.0009185752805548271
4,0.1643360614231447,0.7678735406008134,0.243608381506398,0.9427083333333334,0.000845488545681857
5,0.15233161751695765,0.7998163452708907,0.28889861858420673,0.9453125,0.0007782169801558843
6,0.14138899410400935,0.7767939131575495,0.23872317390039824,0.9427083333333334,0.0007162978981749909
7,0.12891470162364527,0.7649875377148104,0.237339867192223,0.9453125,0.0006593054276805092
8,0.1235397235316232,0.7977830250557523,0.2775885985111721,0.9388020833333334,0.0006068475812598103
9,0.11348115086434334,0.7737767283221828,0.2622340601592809,0.9440104166666666,0.000558563560103646
10,0.10727428072472898,0.7754165026892299,0.27110774192909504,0.94140625,0.000514121272474983
11,0.09999520075696755,0.7803358257903713,0.2820624469757438,0.94140625,0.00047321504962165604
12,0.09503686649921705,0.7829594647776466,0.2752766520422624,0.9427083333333334,0.00043556354342315785
13,0.08953995808080686,0.7812213039485766,0.2942011769854277,0.9440104166666666,0.00040090779131183197
14,0.08529941321206772,0.7764003673094583,0.2998191576244052,0.9401041666666666,0.0003690094351592282
15,0.08188403712782433,0.7816476452840089,0.2703069206439351,0.9440104166666666,0.00033964908187733166
16,0.07714366279845315,0.7806965761511216,0.2914646692908086,0.94140625,0.00031262479445907845
17,0.07381488850749121,0.7797455070182342,0.2743593302791257,0.9401041666666666,0.0002877507030797126
18,0.06925262851504291,0.7824347369801915,0.2666947694966477,0.9375,0.0002648557267063065
19,0.06763302611293105,0.7876492194674013,0.29511077223815707,0.9388020833333334,0.00024378239642282705
20,0.06399345875725271,0.7868949232585596,0.2814554681952409,0.9375,0.0002243857723777181
21,0.06235897648564684,0.7886986750623114,0.27875014686543825,0.9361979166666666,0.0002065324469048931
22,0.06149557718204531,0.7865341728978092,0.28500247402894696,0.9427083333333334,0.00019009962696172383
23,0.05933138645609947,0.791748655385019,0.27581330163015255,0.9401041666666666,0.00017497428957314305
24,0.05679004862753114,0.7888626524990161,0.28372206229134583,0.9401041666666666,0.000161052404473106
25,0.05498058584374868,0.7903384494293585,0.2730133300559116,0.9375,0.00014823821859683188
26,0.05373713163643833,0.7690541781450873,0.266329692220546,0.94140625,0.0001364435975026478
27,0.0526365966695111,0.7910271546635183,0.2715457956739489,0.9375,0.00012558741919381397
28,0.05178517283402323,0.7924373606191789,0.28466571252035355,0.9375,0.00011559501617110823
29,0.04991772962446377,0.7882723337268791,0.27308036087369586,0.9375,0.00010639766187867449
30,0.049159718881838205,0.7848943985307621,0.27147380619663325,0.94140625,0.0001
