epoch,train_loss,val_auc,val_prc,val_acc,lr
1,0.24953244668923744,0.7408356545961003,0.280954480496637,0.9388020833333334,0.0005573770491803278
2,0.20367346077067097,0.752757660167131,0.3419486583986188,0.9427083333333334,0.0009979798666177075
3,0.18213305728343443,0.7862674094707521,0.3173771646863676,0.94140625,0.0009185752805548271
4,0.16609054240511684,0.8210306406685237,0.41149696276916436,0.9440104166666666,0.000845488545681857
5,0.15347538037392183,0.8098050139275766,0.39368466377677974,0.9440104166666666,0.0007782169801558843
6,0.14117617929369453,0.7805849582172703,0.33987401272029455,0.9401041666666666,0.0007162978981749909
7,0.13419350625841114,0.8305292479108636,0.4544065623758503,0.94140625,0.0006593054276805092
8,0.12247419429988396,0.8086350974930363,0.4297440084744749,0.9505208333333334,0.0006068475812598103
9,0.11607678426899076,0.8212534818941505,0.421044103676358,0.9401041666666666,0.000558563560103646
10,0.11023755806187789,0.8149025069637883,0.39340302746540873,0.9453125,0.000514121272474983
11,0.10082197255962264,0.8220612813370474,0.4063820812638499,0.94140625,0.00047321504962165604
12,0.09449477616424967,0.806991643454039,0.37634738251408273,0.9388020833333334,0.00043556354342315785
13,0.09021299395982812,0.7964345403899721,0.3584873993636961,0.94140625,0.00040090779131183197
14,0.08628694096777012,0.8029526462395542,0.36585513763966504,0.9401041666666666,0.0003690094351592282
15,0.08276563278603845,0.7972980501392757,0.35651969609224116,0.94140625,0.00033964908187733166
16,0.0793479875154127,0.8127019498607242,0.39302430173863273,0.9388020833333334,0.00031262479445907845
17,0.07458737912792258,0.7968523676880223,0.3713115146754526,0.94140625,0.0002877507030797126
18,0.07250867623502646,0.7972144846796657,0.34708430767193504,0.9322916666666666,0.0002648557267063065
19,0.07100374799040032,0.8038161559888579,0.3735902474458635,0.9388020833333334,0.00024378239642282705
20,0.06797220798709043,0.7978551532033427,0.35262118273782134,0.9388020833333334,0.0002243857723777181
21,0.06554159811296599,0.7986350974930362,0.3672784532769059,0.9388020833333334,0.0002065324469048931
22,0.06495263644047385,0.798217270194986,0.3579759042112306,0.9375,0.00019009962696172383
23,0.061893733210740536,0.7989136490250695,0.3571479102156496,0.9388020833333334,0.00017497428957314305
24,0.061477181600119044,0.7989693593314763,0.36271631683508065,0.9361979166666666,0.000161052404473106
25,0.0596577005415428,0.7986072423398328,0.3640865741857263,0.9375,0.00014823821859683188
26,0.05847754159836265,0.7952924791086351,0.35227174345574325,0.9388020833333334,0.0001364435975026478
27,0.057070116944065906,0.7969359331476322,0.35868685995086896,0.9401041666666666,0.00012558741919381397
28,0.056000514099813575,0.7933983286908077,0.3546147949310623,0.9361979166666666,0.00011559501617110823
29,0.05479285261041023,0.7912534818941505,0.34550272096786927,0.9361979166666666,0.00010639766187867449
30,0.05474431662842995,0.7974373259052924,0.36194920016809645,0.9361979166666666,0.0001
