epoch,train_loss,val_auc,val_prc,val_acc,lr
1,0.24582210243717442,0.7346518105849582,0.2801730252423284,0.9348958333333334,0.0005573770491803278
2,0.21522909460392425,0.7563231197771588,0.3403607062319492,0.9401041666666666,0.0009979798666177075
3,0.1954129253461109,0.7847632311977716,0.37970817806867113,0.94140625,0.0009185752805548271
4,0.17654102989207437,0.8055710306406686,0.4020765750600342,0.9427083333333334,0.000845488545681857
5,0.17100969223472162,0.8019777158774373,0.41266939658895957,0.9466145833333334,0.0007782169801558843
6,0.1602393590004706,0.7824512534818941,0.3277173806005422,0.94140625,0.0007162978981749909
7,0.1532471230541303,0.8214206128133706,0.467902564790932,0.9440104166666666,0.0006593054276805092
8,0.14451312397917113,0.8041225626740947,0.4170811392979536,0.9453125,0.0006068475812598103
9,0.1438853726305855,0.8200278551532033,0.42929084206693185,0.94140625,0.000558563560103646
10,0.13639040023270177,0.813983286908078,0.42071349510270223,0.94140625,0.000514121272474983
11,0.130319633649859,0.8181894150417828,0.4285278333219045,0.94140625,0.00047321504962165604
12,0.12371442516947664,0.8092479108635098,0.40322047033935826,0.9401041666666666,0.00043556354342315785
13,0.11928947581871738,0.793899721448468,0.3842391202744453,0.94140625,0.00040090779131183197
14,0.11831712780323456,0.8002506963788301,0.3975440986305746,0.9401041666666666,0.0003690094351592282
15,0.11194251960794616,0.7961838440111421,0.38549338424589075,0.9427083333333334,0.00033964908187733166
16,0.10773566566649975,0.8122562674094708,0.40716907978852485,0.9453125,0.00031262479445907845
17,0.10868401963233464,0.8001392757660167,0.3847865783665869,0.9427083333333334,0.0002877507030797126
18,0.10747910207667487,0.7933704735376044,0.35822117617455607,0.9375,0.0002648557267063065
19,0.10194531613127972,0.8068245125348189,0.4186584451512691,0.9401041666666666,0.00024378239642282705
20,0.09917497790865297,0.7927019498607242,0.3827613701235435,0.94140625,0.0002243857723777181
21,0.09770607404653134,0.8057381615598885,0.39940155746781836,0.9466145833333334,0.0002065324469048931
22,0.09666941533001458,0.8074373259052926,0.39343466473214794,0.9427083333333334,0.00019009962696172383
23,0.09083923214395356,0.804958217270195,0.3949429425375164,0.9427083333333334,0.00017497428957314305
24,0.09399280332907187,0.8086350974930362,0.4169322830245658,0.9440104166666666,0.000161052404473106
25,0.0895443726179561,0.8015320334261837,0.3916906634867203,0.9401041666666666,0.00014823821859683188
26,0.089084374998522,0.7985236768802229,0.373788113050644,0.94140625,0.0001364435975026478
27,0.08951113014898407,0.8014484679665738,0.38887624813454036,0.9453125,0.00012558741919381397
28,0.08653319189400692,0.7961281337047353,0.393548988206026,0.9440104166666666,0.00011559501617110823
29,0.08375408561006795,0.7982729805013927,0.38145303214805426,0.9401041666666666,0.00010639766187867449
30,0.08627820178502943,0.8016991643454039,0.3948506926314748,0.9427083333333334,0.0001
