smiles,pred,max_tan_to_sd1_actives
CC(C)[C@H]1C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)O[C@H](C)[C@H](N(C)C(=O)C[C@H](C)C(Cl)Cl)C(=O)N1C,0.9356094598770142,0.28318584
CC(C)[C@H]1C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)O[C@H](C)[C@H](N(C)C(=O)C[C@H](C)C(Cl)Cl)C(=O)N1C,0.9354208111763,0.28318584
CC(CC(=O)N(C)[C@@H]1C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)O[C@@H]1C)C(Cl)Cl,0.9353286027908324,0.28318584
CC[C@@H](C)[C@@H]1C(=O)N(C)[C@@H](C)C(=O)NCCC(=O)O[C@@H](C[C@H](O)CCl)C(=O)N2CCC[C@@H]2C(=O)N[C@@H]([C@@H](C)CC)C(=O)N1C,0.9317589402198792,0.2792793
CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](N(C)C(=O)C[C@H](C)C(Cl)Cl)[C@@H](C)OC1=O,0.9316719174385072,0.26548672
CC(CC(=O)N(C)[C@@H]1C(=O)N(C)[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C)C(Cl)Cl,0.9316539168357848,0.26548672
CC(C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](N(C)C(=O)C[C@H](C)C(Cl)Cl)[C@@H](C)OC1=O,0.9316058158874512,0.26548672
CCC(C)C1NC(=O)[C@@H]2CCCN2C(=O)C(CC(O)CCl)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)CC)N(C)C1=O,0.9308934807777404,0.2792793
CC(O[Si](C)(C)C(C)(C)C)C1C(=O)NC1SC(=S)SC1CC[S+]([O-])C1,0.9188644886016846,0.15053764
COc1ccc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@]4(C)SS[C@]3(C[C@]21Cl)C(=O)N4C,0.9181880950927734,0.2857143
COc1ccc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@]4(C)SS[C@@]3(C[C@]21Cl)C(=O)N4C,0.9180104732513428,0.2857143
COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)C4CSSSC3(C(=O)N4C)[C@H](O)[C@]21O,0.917527198791504,0.2
COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@H]4CSS[C@@]3(C(=O)N4C)[C@H](O)[C@]21O,0.9168040752410888,0.20481928
COc1cc(C(CC(=O)N2CCOCC2)C2=C(O)[C@@]3(Oc4c(Cl)c(OC)cc(OC)c4C3=O)[C@H](C)CC2=O)ccc1O,0.9150060415267944,0.20930232
COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@@]4(C)SS[C@@]3(C(=O)N4C)[C@H](O)[C@]21O,0.9139317274093628,0.22077923
COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@]4(C)SS[C@@]3(C(=O)N4C)[C@H](O)[C@]21O,0.9139271378517152,0.22077923
COc1c(Cl)cc2c(c1OC)N(C)[C@H]1N3C(=O)[C@@]4(C)SS[C@@]3(C(=O)N4C)[C@@H](O)[C@@]21O,0.913192093372345,0.22077923
CCC(N)C(=O)N(C(=O)[C@H]1NC[C@@H](Cl)C1Cl)[C@@](C=O)(C(=O)C(N)CC)[C@H](O)C(=O)C(C=N)c1ccccc1,0.9115096926689148,0.19148937
COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@]4(C)SSS[C@@]3(C(=O)N4C)[C@H](O)[C@]21O,0.9103292226791382,0.2125
COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@@]4(C)SSS[C@@]3(C(=O)N4C)[C@@H](O)[C@]21O,0.9098955988883972,0.2125
CC(C)[C@@H]1/N=C(\O)[C@@H]2[C@@H](C)CCN2C(=O)[C@@H](CC(O)CCl)OC(=O)CC/N=C(/O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,0.9078646898269652,0.23893805
COc1cc(C(CC(=O)NCCN(C)C)C2=C(O)[C@@]3(Oc4c(Cl)c(OC)cc(OC)c4C3=O)[C@H](C)CC2=O)ccc1O,0.9058770537376404,0.23958333
COc1c(Cl)cc2c(c1OC)N[C@@H]1N3C(=O)[C@]4(C)SS[C@@]3(C(=O)N4C)[C@H](O)[C@]21O,0.8912754654884338,0.24050634
S=C(Nc1ccccc1Cl)NC1CCCCC1,0.8876944780349731,0.22222222
CC[C@H](C)[C@@H]1/N=C(\O)[C@@H]2CCCN2C(=O)C(CC(O)CCl)OC(=O)CC/N=C(/O)[C@H](C)N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C1=O,0.8835474252700806,0.22413793
