epoch,train_loss,val_auc,val_prc,val_acc,lr
1,0.22823735889865132,0.8233584087721535,0.3134663246659171,0.9283854166666666,0.0005573770491803278
2,0.19240188422968718,0.8387351778656126,0.38394472341621316,0.9309895833333334,0.0009929473692403016
3,0.17369888841015538,0.8196353436185133,0.4009939741280793,0.9361979166666666,0.0007428508751691165
4,0.15450676630546406,0.82142037485656,0.4102680948147613,0.93359375,0.0005557469004240602
5,0.14060005254861785,0.8243019252836924,0.3859414091953394,0.9348958333333334,0.0004157693389815779
6,0.13049870877852285,0.8213183730715288,0.4422358657965668,0.93359375,0.0003110483263249423
7,0.12259989121277642,0.8214968761953334,0.4141583198053275,0.9361979166666666,0.00023270369466526404
8,0.11793162531363285,0.814611755705725,0.43568930803926126,0.93359375,0.00017409194947506194
9,0.11241995481153329,0.8202473543287009,0.44025455422721244,0.9375,0.00013024291219623527
10,0.10925594927758221,0.8163967869437714,0.441740932696445,0.9348958333333334,0.0001
