epoch,train_loss,val_auc,val_prc,val_acc,lr
1,0.28722922261652906,0.7385003604902668,0.15342601125211713,0.9505208333333334,0.0005573770491803278
2,0.22613026398589942,0.7219899062725306,0.12563649345188835,0.9505208333333334,0.0009968593341909892
3,0.21619428100624705,0.7652847873107427,0.1587407692746055,0.9479166666666666,0.0008762397501349779
4,0.20488410714135422,0.760814708002884,0.18965830337033654,0.94921875,0.0007702150879087879
5,0.19583171409198907,0.7739365537130498,0.2188612860978522,0.9505208333333334,0.0006770193677597475
6,0.1907660956910955,0.7713410237923577,0.2415725175745186,0.9505208333333334,0.0005951002927848235
7,0.1881241889867356,0.7718817591925018,0.25116292090885495,0.94921875,0.0005230933933905671
8,0.17886616707575032,0.7753785147801009,0.2587974565611283,0.94921875,0.00045979930026315174
9,0.18001838582681445,0.7799206921413121,0.2684423474971597,0.9518229166666666,0.00040416376730002194
10,0.17347769949554911,0.7876351838500361,0.2924433272737109,0.94921875,0.00035526011175888913
11,0.17713646630082674,0.7911679884643115,0.3072851440008013,0.9505208333333334,0.0003122737791417343
12,0.1684307471159997,0.7802090843547224,0.3271252171229188,0.9505208333333334,0.00027448877572172506
13,0.16267660105737244,0.7794520547945205,0.29915857294433623,0.9505208333333334,0.00024127574272899294
14,0.16317636870998678,0.7870944484498918,0.2953477001190305,0.9505208333333334,0.00021208147355520346
15,0.16293674728613558,0.7826964671953859,0.2782103226399094,0.94921875,0.0001864196993722138
16,0.16177615096292844,0.7862653208363374,0.29549995747309643,0.9518229166666666,0.00016386298968721925
17,0.16079856634018866,0.7861932227829849,0.3024433685993933,0.9518229166666666,0.00014403563292751412
18,0.157439816197971,0.7817231434751262,0.31671516264139477,0.9518229166666666,0.00012660737847167283
19,0.15597334077082028,0.7832732516222062,0.30811382685070937,0.9505208333333334,0.00011128793589247607
20,0.15655001286205236,0.7865176640230714,0.31554952362416494,0.9505208333333334,0.0001
