epoch,train_loss,val_auc,val_prc,val_acc,lr
1,0.2489394098520279,0.8086252632154675,0.27521109011786626,0.9348958333333334,0.0005573770491803278
2,0.19634345685684584,0.8365192660048677,0.3282825282941154,0.9361979166666666,0.0009968593341909892
3,0.1793834834503449,0.8540487324636967,0.3903562105769091,0.9401041666666666,0.0008762397501349779
4,0.16012777148829244,0.8327453715098312,0.3766246324117745,0.9388020833333334,0.0007702150879087879
5,0.14886608014140673,0.8484425848442585,0.3706601767304384,0.9375,0.0006770193677597475
6,0.13863581918725154,0.8548417972488856,0.394114615410646,0.94140625,0.0005951002927848235
7,0.1273375645703901,0.8291629064457025,0.34818277504842154,0.9388020833333334,0.0005230933933905671
8,0.1193456314352712,0.8242951294883365,0.36362760696670543,0.9322916666666666,0.00045979930026315174
9,0.11220166000832872,0.8346049716957913,0.40483010805721487,0.9401041666666666,0.00040416376730002194
10,0.10689020565733677,0.8174310170372193,0.3864812074086973,0.94140625,0.00035526011175888913
11,0.10123079103546415,0.8320343479093172,0.38102578094593137,0.9361979166666666,0.0003122737791417343
12,0.09680132735974906,0.8218885880712118,0.3812134365306533,0.9401041666666666,0.00027448877572172506
13,0.09141883631123275,0.8210408291629064,0.37653301813498674,0.94140625,0.00024127574272899294
14,0.08797119139898114,0.8236934941340552,0.3821818754178859,0.9375,0.00021208147355520346
15,0.08493949268467543,0.819263270161621,0.35699235291196246,0.9388020833333334,0.0001864196993722138
16,0.08249504614348818,0.8096371044931221,0.3457703940037724,0.9375,0.00016386298968721925
17,0.07967568049585916,0.8130007930647851,0.3570595091682515,0.9388020833333334,0.00014403563292751412
18,0.07744145814359672,0.8161183580824241,0.3614426091436238,0.9401041666666666,0.00012660737847167283
19,0.07542619892070448,0.8139305931577652,0.35838344965426994,0.9401041666666666,0.00011128793589247607
20,0.07315772770320982,0.8150244756200945,0.37911760968109665,0.9361979166666666,0.0001
