epoch,train_loss,val_auc,val_prc,val_acc,lr
1,0.2658816480903122,0.7106406685236768,0.23255047256492456,0.9348958333333334,0.0005573770491803278
2,0.23103917108439817,0.7532033426183844,0.295054610638312,0.9375,0.0009979798666177075
3,0.2132189379838424,0.7776880222841226,0.35923760229217044,0.9388020833333334,0.0009185752805548271
4,0.2015633672415241,0.8016991643454039,0.4077168988352346,0.9401041666666666,0.000845488545681857
5,0.19885854050517082,0.8051532033426184,0.40197890610677395,0.9401041666666666,0.0007782169801558843
6,0.1828359813709569,0.7892757660167131,0.3606619256864957,0.9427083333333334,0.0007162978981749909
7,0.18589170695078083,0.8162395543175488,0.41998908547335195,0.9388020833333334,0.0006593054276805092
8,0.17898562129556647,0.8014206128133705,0.39737128009780337,0.94140625,0.0006068475812598103
9,0.1762073077261448,0.8042061281337046,0.41877125629690304,0.9440104166666666,0.000558563560103646
10,0.17238043418260124,0.8010306406685238,0.40485100633249504,0.94140625,0.000514121272474983
11,0.17095752747926285,0.821058495821727,0.4392094248814041,0.9401041666666666,0.00047321504962165604
12,0.16543162735254785,0.815125348189415,0.4149112141184304,0.9427083333333334,0.00043556354342315785
13,0.16539842774712943,0.8058217270194986,0.4012686213314076,0.94140625,0.00040090779131183197
14,0.1656538533364854,0.8070473537604458,0.4218736016037339,0.9427083333333334,0.00036900943515922815
15,0.1567816168251561,0.815041782729805,0.415161638582401,0.9427083333333334,0.00033964908187733166
16,0.1563676706840837,0.8242061281337046,0.42771915236853336,0.94140625,0.00031262479445907845
17,0.15224472799800276,0.8232869080779944,0.4300707347827622,0.9427083333333334,0.0002877507030797126
18,0.15422920255762776,0.8276323119777158,0.4390941126906724,0.9427083333333334,0.0002648557267063065
19,0.15214862459437634,0.8222841225626741,0.42198809738098736,0.9388020833333334,0.00024378239642282705
20,0.14611600051687015,0.8140947075208915,0.4300543563418433,0.9427083333333334,0.0002243857723777181
21,0.14543937543422225,0.8255431754874653,0.4427333975559855,0.9427083333333334,0.0002065324469048931
22,0.14202061219792056,0.8225905292479109,0.4311617079953756,0.94140625,0.00019009962696172383
23,0.14192409864891836,0.8192479108635098,0.43307617376605845,0.94140625,0.00017497428957314305
24,0.14421955653564716,0.825933147632312,0.43500483135494145,0.9440104166666666,0.000161052404473106
25,0.1464461507957156,0.8219777158774373,0.4390476610135038,0.9401041666666666,0.00014823821859683188
26,0.1428033528864626,0.8232590529247911,0.44905292594627094,0.9427083333333334,0.0001364435975026478
27,0.13942630567807493,0.826908077994429,0.4440262055796693,0.9401041666666666,0.00012558741919381397
28,0.14100379602817015,0.8288857938718663,0.43415525497364144,0.9401041666666666,0.00011559501617110823
29,0.1393594159101083,0.8240668523676881,0.43664627639045883,0.9427083333333334,0.00010639766187867449
30,0.1387348633592691,0.8280222841225626,0.43289158438402353,0.94140625,0.0001
